rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
18,758. 한사랑교회 앞,57,317,37.51472092,126.85919952,ST-1499
10,759. 보아스아파트 앞,26,260,37.52407074,126.83860016,ST-1500
10,760. 잣절보도육교 아래,19,190,37.50682068,126.84429932,ST-1501
10,762. 오목로 무중력지대 앞,0,0,37.52474213,126.87766266,ST-1503
10,763. 목동11단지 아파트,23,230,37.51065826,126.85916138,ST-1504
30,764. 목동청소년수련관,8,27,37.53102875,126.87589264,ST-1505
12,765. 오목교역 3번출구,12,100,37.52477646,126.87548065,ST-1731
15,766. 신목동역 3번출구,29,193,37.54394913,126.88346100,ST-1736
10,767.신정숲속마을아파트,14,140,37.50574493,126.83631134,ST-1993
15,768.목동5단지아파트 501동,18,120,37.53566742,126.88158417,ST-1994
20,769.CBS방송국 앞,15,75,37.52785492,126.87467194,ST-1995
15,770.목동역5번출구 교통정보센터 앞,10,67,37.52571487,126.86486816,ST-1996
8,771.목동아파트 703동 앞,14,175,37.52820587,126.87016296,ST-1997
10,"773.염창역 3, 4번 출구 사이",4,40,37.54670715,126.87457275,ST-1999
11,774.등촌역 4번 출구 ,1,9,37.54950714,126.86721802,ST-2000
10,775.세종그랑시아 앞(102동),12,120,37.53837585,126.86383057,ST-2001
15,776.목마공원,19,127,37.53874207,126.88568115,ST-2002
10,777.신월6차보람아파트 앞,30,300,37.53012848,126.83477783,ST-2003
