대여소_ID,주소1,주소2,위도,경도
ST-1839,서울특별시 강동구 성내동 449-22,,37.521976,127.133621
ST-1838,서울특별시 강동구 천호동 571-2,,37.536205,127.132561
ST-1837,서울특별시 강동구 양재대로 1504,,37.539894,127.141037
ST-1836,서울특별시 강동구 천호동 114-4,,37.541363,127.137184
ST-1835,서울특별시 강동구 명일동 59,,37.546837,127.149162
ST-1834,서울특별시 강동구 천호동 55-26,,37.541145,127.141052
ST-1833,서울특별시 강동구 고덕로 272 헌혈의집,,37.554863,127.153725
ST-1832,서울특별시 강동구 상일동 145-6,,37.555687,127.159912
ST-1831,서울특별시 강동구 고덕로 295 고덕평생학습관,,37.555702,127.157921
ST-1830,서울특별시 강동구 동남로 888,,37.553055,127.156883
ST-183,서울특별시 종로구 교북동 10-1,독립문역 사거리,37.572029,126.960785
ST-1829,서울특별시 종로구 종로 98 와이.비.엠 종로빌딩,,37.569992,126.988342
ST-1828,서울특별시 종로구 구기동 110-22,,37.607601,126.957687
ST-1827,서울특별시 종로구 비봉길 12,,37.609501,126.95668
ST-1826,서울특별시 종로구 부암동 134-2,,37.59726,126.963089
ST-1825,서울특별시 종로구 부암동 202-1,,37.595127,126.963493
ST-1824,서울특별시 종로구 무악동 60-5,,37.576668,126.955849
ST-1823,서울특별시 종로구 무악동 32-3,,37.575016,126.95755
ST-1822,서울특별시 종로구 사직동 9-2,,37.575291,126.968956
ST-1821,서울특별시 종로구 청운동 89-130,,37.588318,126.969215
ST-1820,서울특별시 종로구 연지동 1-38,,37.575836,127.000694
ST-182,서울특별시 종로구 세종로 76-5,광화문 시민열린마당,37.575493,126.9785
ST-1819,서울특별시 종로구 명륜2가 133,,37.584797,126.997131
ST-1818,서울특별시 종로구 대학로 144 중원빌딩,,37.583855,127.001854
ST-1817,서울특별시 종로구 명륜2가 197-4,,37.583275,126.998856
ST-1816,서울특별시 종로구 와룡동 2-85,,37.581947,126.997368
ST-1815,서울특별시 종로구 창신동 1-105,,37.579987,127.01506
ST-1814,서울특별시 종로구 창신동 23-825,,37.577724,127.015251
ST-1813,서울특별시 종로구 창신동 397-6,,37.571533,127.015617
ST-1812,서울특별시 종로구 종로 302 1호선 동대문역,,37.571461,127.010788
ST-1811,서울특별시 종로구 종로5가 79-2,,37.571175,127.002228
ST-1810,서울특별시 종로구 창경궁로 120 종로플레이스,,37.5732,126.997963
ST-181,서울특별시 종로구 서린동 93-2,SK 서린빌딩 앞,37.569248,126.980537
ST-1809,서울특별시 종로구 종로 152,,37.570313,126.994545
ST-1808,서울특별시 종로구 종로 153-2 가로판매대,,37.570702,126.994812
ST-1807,서울특별시 종로구 돈화문로10길 2,,37.572468,126.99189
ST-1806,서울특별시 종로구 운니동 99,,37.57748,126.988922
ST-1805,서울특별시 종로구 공평동 70-4,,37.570511,126.983368
ST-1804,서울특별시 종로구 안국동 175-92,,37.575806,126.983391
ST-1803,서울특별시 종로구 세종로 79-10,,37.574059,126.9758
ST-1802,서울특별시 종로구 사직로8길 20 경희궁 파크팰리스,,37.574551,126.970551
ST-1801,서울특별시 종로구 대학로 8 수도빌딩,,37.571854,127.002357
ST-1800,서울특별시 종로구 송월길 48 서울특별시교육청,,37.569508,126.967011
ST-180,서울특별시 종로구 무악동 41-7,독립문역 3번출구 뒤,37.573849,126.958694
ST-18,서울특별시 마포구 동교동 192-44,,37.557438,126.923821
ST-1799,서울특별시 종로구 이화동 13-2,,37.576607,127.005569
ST-1798,서울특별시 종로구 지봉로5길 7 두산아파트,,37.573761,127.013939
ST-1797,서울 송파구 올림픽로 95,,37.516212,127.084343
ST-1796,서울 송파구 오금동 129-4,,37.501667,127.137741
ST-1795,서울특별시 송파구 풍납동 461,,37.525158,127.116943
ST-1794,서울 송파구 마천동 5-19,성내천로 179,37.501495,127.147781
ST-1793,서울특별시 송파구 양재대로 925 가락1동주민센터,,37.50005,127.111511
ST-1792,서울 송파구 풍납동 388-1,서울 송파구 올림픽로43길 88,37.526299,127.109497
